# fv = 1E-6                                       fv = 1E-7                                           fv = 1E-8
# x (m), Q (kW/m3)                              x (m), Q (kW/m3)                                   x (m), Q (kW/m3)
0.029686774996367626 -218.60789928806105    0.0034589264204798187 -327.94957841404937       0.0033417541162630293 -304.9838067875572
0.029686774996367626 -218.60789928806105    0.03085849803853563 -98.26561555298295          0.030750699518656166 -77.13710565661013
0.06156232863550504 -166.21641255899624     0.05929855971803655 -72.51770473516714          0.060971780222252414 -50.46892356147559
0.09534076049512324 -136.78905704416457     0.09673745436138748 -60.541054831951456         0.09485801060175003 -42.170077943016736
0.12916137438425956 -115.6293793148701      0.12884266571678987 -53.16248049081132          0.13231096592160707 -32.949320634980126
0.17014824639929504 -99.05629426183789      0.1698904673300181 -48.53159668355509           0.17158712229507733 -31.075969835161978
0.21294425879143802 -87.07472312184511      0.21451905456011172 -45.73469378190013          0.2144253167167383 -27.362076480706378
0.25753535088418217 -76.92877329971267      0.25736662276611 -43.85806215756392             0.2590632777311693 -26.402435309170812
0.3092786404263197 -68.61352355866346       0.3091427205534282 -41.97322847193252           0.30905366960222336 -24.519242035798456
0.36459802869315383 -61.21362385815587      0.3627045242570103 -40.086754374042094          0.3644011792220696 -22.631127525649
0.4985025379521093 -56.49743861342979       0.5019848988334326 -39.04017135277767           0.5001148288581324 -22.50645619396233
0.6360300148574481 -61.882912059842226      0.6341365104213046 -40.75604257572845           0.6358378522785325 -24.21904659239503
0.691424393398981 -69.18110620028963        0.6930694925501848 -41.62053983623998           0.691194735682716 -24.168193812364947
0.7414616541917219 -76.48422157751416       0.7412929260736497 -43.41351043536541           0.7429848941465402 -25.039252721912618
0.787941563828441 -86.5465103744358         0.7877353405730194 -46.126752311809554          0.7894273086459098 -27.752494598356776
0.830864122309138 -99.3679725910546         0.8306110301320297 -49.76190587783147           0.8340933910133528 -32.30463861717933
0.8702340165259816 -115.8672390924302       0.8681342888344166 -54.32061154569017           0.8680264903145372 -33.192101649317344
0.9060559333711409 -136.96294074362228      0.9038765285127084 -59.79958849086759           0.9055638096934302 -40.50669991235512
0.9401343263295541 -166.32796059261065      0.9396468895440122 -70.79035062640314           0.9395437779163014 -50.58047159509002
0.9707537928674874 -217.74340202754954      0.9683447302927899 -95.56713738687014           0.9700320114735119 -76.27424880835767
0.9707537928674874 -217.74340202754954      1.0016732205042158 -327.9512188263085           1.0015513613078302 -304.0668163347566
